titulo,tipo,artista,fecha-lanzamiento,generos
Dejala Corre / El Sapo / Crees Que Soy Sexy,Single,Banda Los Hijos de La Niña Luz,2008-10-20,"latin, cumbia"
Ranil y Su Conjunto Tropical,Album,Ranil y Su Conjunto Tropical,2020-03-20,"afrobeat, cumbia"
¡ Ay Ay Ay !,Album,La Dinamitaaa,2017-04-07,"latin, cumbia"
La cumbia nació en Baru / Las velas encendidas,Single,Sonora Dinamita,1982,"latin, cumbia"
Cumbias y gaitas famosas de Colombia,Album,Various Artists,1989,"latin, cumbia"
Soy valiente / El Africano,Single,Lucy González,1984,"latin, cumbia"
La cumbia de los cuervos / Primer amor,Single,Juaneco y su Combo,1983,"latin, cumbia"
Hasta que amanezca / Vamos a beber,Single,Adolfo Echeverría y su Orquesta,1986,"latin, cumbia"
Calafia Armada,EP,Calafia Armada,2020-02-14,"latin, cumbia"
Lo máximo,Album,Pastor López,1982,"latin, cumbia"
