titulo,tipo,artista,fecha-lanzamiento,generos
El padrino,Album,Fulanito,1999,"pop, latin, merengue, cumbia, tejano"
Sólo tú,Album,La Gran Magia Tropical,1999,"latin, cumbia"
Tout va bien,EP,Babylon Circus,1999,"rock, alternative rock, ska, reggae, latin, cumbia, pachanga"
Hasta la eternidad,Album,Grupo Green,1999,"latin, cumbia"
Cumbias villeras y de las otras,Album,Los Pibes Chorros,2000,"latin, cumbia villera"
"All My Hits: Todos mis éxitos, Volume 2",Album,Selena,2000,"electronic, pop, 90s, spanish, mexican, latin pop, latin, cumbia, tejano"
Ritmo y sustancia,Album,Mala Fama,2000,"latin, cumbia"
Trans Europe Express,Single,Señor Coconut y su conjunto,2000,"electronic, latin, cumbia, mambo"
Lo que el pueblo quiere bailar,Album,Los 50 de Joselito,2000,"latin, merengue, cumbia"
Música y corazón,Album,Milena,2000,"latin, cumbia"
El campeón,Album,Amar Azul,2000,"latin, cumbia"
The Rough Guide to Cumbia,Album,Various Artists,2000,"latin, rough guide, cumbia"
Bizitza triste eta ederra,Album,Joxe Ripiau,2000,"rock, ska, folk rock, latin, cumbia"
Cumbia villera,Album,Yerba Brava,2000,cumbia villera
El amor nos mantendrá juntos,Album,Priscila y sus Balas de Plata,2000,"latin, cumbia, tejano"
The Rough Guide to Central America,Album,Various Artists,2001,"folk, reggae, salsa, latin, rough guide, cumbia, trova"
Barrio bravo,Album,Celso Piña,2001,"hip hop, latin, 00s, cumbia, vallenato, norteño"
"Live, The Last Concert",Album,Selena,2001,"electronic, pop, 90s, spanish, latin, cumbia, tejano"
Border: La línea,Album,Lila Downs,2001,"folk, world, 2000s, latin, 2001, cumbia"
Marcando terreno,Album,Joe Arroyo,2001,"salsa, latin, cumbia"
20 super éxitos,Album,Organización X,2001,"latin, cumbia"
