titulo,tipo,artista,fecha-lanzamiento,generos,id
El sabio,Album,Héctor Lavoe,1980,salsa,72a81e21-5276-3bd2-8f1a-f3feeb6f15c6
Commitment,Album,Fania All-Stars,1980,"salsa, latin, bolero",bd391acd-f234-4ec7-b5c1-94112abd6f3a
El niche y el indio,Album,Washington y sus Latinos,1981,"salsa, latin, guaguancó",b4743213-8b49-4948-80d9-b1a3af8d415a
Cuerda para rato,Album,Dimensión Latina,1981,"salsa, latin, bolero",54c13644-9828-4beb-862d-0a6ee46590f0
Que sentimiento!,Album,Héctor Lavoe,1981,"salsa, latin",63615084-8c63-4e2f-93d9-fbbf56709f91
¡A mí sí me gusta así!,Album,Oscar D’León,1981,"salsa, latin",
Con gusto y gana,Album,Joe Arroyo y La Verdad,1981,"salsa, latin, merengue, cumbia",d8a9f6e2-5c58-4ff6-abbf-6a2996327a1c
La nueva explosión,Album,"Jose ""Piliche"" Elicier",1981,"salsa, latin, bolero, guaguancó",1b031296-fb39-4693-bc35-21d52c213489
Querer es poder,Album,Grupo Niche,1981,"salsa, latin",7b55905c-bdb0-47fb-b21d-52ff90541ebc
Sabor y raza,Album,Arabella,1982,"salsa, latin",37bba9ae-b394-4352-9c9a-fe58648e1e69
El discóbolo,Album,Oscar D’León,1982,"salsa, latin",957754b6-b6f1-4389-9c02-0c0bdde82748
"Fiesta con ""El Conde""",Album,Pete “El Conde” Rodríguez,1982,"salsa, latin, descarga, guaguancó",7e5fd7d1-414e-4c6d-8e11-e0eb7db4e1b6
El campeón,Album,Joe Arroyo y La Verdad,1982,"salsa, latin, cumbia, guaracha",3c8ca228-528b-4dff-8bc8-9771720168a4
Joui La Vie Ou,Album,Tuco Et Les Frères Déjean,1982,"salsa, latin, compas",f2da5f2d-d232-49a8-a69f-9d14d9342102
Historia musical de El Gran Combo de Puerto Rico: 20 años - 20 éxitos,Album,El Gran Combo de Puerto Rico,1982,"salsa, latin",ef630835-ad56-4fb6-b478-6b291270082d
La amenaza musical,Album,Grupo Sabotaje,1982,"salsa, latin, cumbia, guaguancó",2e1656af-780f-4805-acae-6b8c31863b5c
Caribe,Album,Soledad Bravo,1982,"pop, salsa, latin",3f08296b-5c3e-4f5c-8d9a-194277630805
Different Shades of Thought,Album,Ángel Canales,1982,"salsa, latin",155ca70c-45f8-4e7a-8402-ced3ef05a0e0
Tabú,Album,orquesta Tabu,1982,"salsa, latin, guaguancó",
La rumba que tumba,Album,Cabrerita y sus Hijos,1982,"salsa, latin, merengue",651d42b5-f1ca-43b5-959e-9f1de4cbd910
Zullen We Maar Weer...,Album,Doble R,1982,"salsa, latin, merengue",f32f59cf-dab5-49af-89bb-a4d023bdea44
Noche de conga,Album,Chaquetón y su Combo,1982,"salsa, latin, guaguancó",d879f741-10bb-43ab-96de-1920cc9aa43a
Se fueron los bravos,Album,Washington y sus Latinos,1982,"salsa, latin, guaguancó",89c85f10-7308-49e1-8041-f3dc542a6aa6
Alguien cantando,Album,Tania Libertad,1982,"pop, salsa, latin, trova",82778631-41df-4cdf-a2f2-4eb60b61702e
Omelenkó,Album,Carlos Barbería,1983,"salsa, latin, bolero",
